Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department,Cost
Plate (folio 17) from KAFKA,Roger Chancel,(French),-1898,-1976,(Male),1957,Prints & Illustrated Books," 1,348 "
Tailpiece (page 35) from SAINTE MONIQUE,Pierre Bonnard,(French),-1867,-1947,(Male),1920-1930,Prints & Illustrated Books," 1,164 "
Bowl,Jacqueline Poncelet,(British),-1947,,(Female),1974,Architecture & Design," 1,263 "
Tailpiece (folio 42 verso) from LES AMOURS,Émile Bernard,(French),-1868,-1941,(Male),1915,Prints & Illustrated Books," 1,463 "
Tuileries (vase),Eugène Atget,(French),-1857,-1927,(Male),1912,Photography," 1,152 "
Plate 23 (folio 25) from MALELADE,Georg Baselitz,(German),-1938,,(Male),1988-1990,Prints & Illustrated Books," 1,142 "
"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Frans Masereel,(Belgian),-1889,-1972,(Male),1925,Prints & Illustrated Books," 1,141 "
Untitled,Unknown,(),,,(),c. 1925,Photography," 1,438 "
"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,(American),-1928,-2007,(Male),1980,Prints & Illustrated Books," 1,308 "
Chamber Music,James Tenney,(American),-1934,-2006,(Male),1964,Prints & Illustrated Books, 962 
Plate (following folio V) from NOTES,Claes Oldenburg,(American),-1929,,(Male),1968,Prints & Illustrated Books, 902 
Chocolate Object (Schokolade-Objekt),Dieter Roth,(Swiss),-1930,-1998,(Male),1969,Prints & Illustrated Books," 1,379 "
Mandry Ven'iamyna Tret'oho,Moisei Fradkin,(),,,(Male),1934,Prints & Illustrated Books," 1,208 "
Dust jacket front (duplicate of folder front) from 2 POEMAS,Antonio Frasconi,(American),-1919,-2013,(Male),1953,Prints & Illustrated Books," 1,269 "
Fun City from Fun City,Richard Lindner,(American),-1901,-1978,(Male),1971,Prints & Illustrated Books," 1,481 "
Angels from Witebsk,Wojciech Prazmowski,(Polish),-1949,,(Male),1988,Photography," 1,335 "
Tailpiece (page 62) from FABLES,Thomas Bewick,(British),-1753,-1828,(Male),1818,Prints & Illustrated Books, 923 
Untitled,Spencer Sweeney,(American),-1973,,(Male),2002,Drawings, 944 
Variety,Batiste Madalena,(American),-1902,-1988,(Male),1926,Film, 920 
Stars and Disasters (Astres et Désastres),Pierre Alechinsky,(Belgian),-1927,,(Male),1969,Prints & Illustrated Books," 1,133 "
"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Frank Lloyd Wright,(American),-1867,-1959,(Male),1914,Architecture & Design," 1,281 "
"Tuesday, Dec. 18, 1979",On Kawara,(Japanese),-1933,,(Male),1979,Painting & Sculpture," 1,455 "
"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,(American),-1928,-1987,(Male),1968,Architecture & Design," 1,194 "
"Pittsburgh, Pennsylvania",Lee Friedlander,(American),-1934,,(Male),1979,Photography," 1,387 "
Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,(Spanish),-1893,-1983,(Male),1966,Prints & Illustrated Books," 1,195 "
"Unity Temple, Oak Park, IL",Frank Lloyd Wright,(American),-1867,-1959,(Male),1904,Architecture & Design," 1,478 "
PORTRAITS DE CHOPIN,Marc Chagall,(French),-1887,-1985,(Male),1949,Prints & Illustrated Books, 998 
The Razorback Bunch (Etching III),Robert Rauschenberg,(American),-1925,-2008,(Male),1981,Prints & Illustrated Books," 1,103 "
Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,(American),-1938,-2011,(Male),1970,Media and Performance Art," 1,005 "
Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,(American),-1929,,(Male),1969,Prints & Illustrated Books," 1,020 "
"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,(American),-1936,,(Male),1972,Prints & Illustrated Books," 1,356 "
Bagatelle,Eugène Atget,(French),-1857,-1927,(Male),1923-1925,Photography," 1,253 "
The Barbie Doll Drawings #27,Adrian Piper,(American),-1948,,(Female),1967,Drawings, 959 
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1932,Architecture & Design," 1,390 "
Plate (page 209) from LES PETITES FLEURS,Émile Bernard,(French),-1868,-1941,(Male),1928,Prints & Illustrated Books," 1,387 "
"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,(American),-1931,-1978,(Male),1965,Prints & Illustrated Books," 1,298 "
Untitled,Louise Bourgeois,(American),-1911,-2010,(Female),2003,Prints & Illustrated Books," 1,401 "
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,(Portuguese),-1933,,(Male),1971-1974,Architecture & Design," 1,479 "
Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,(American),-1943,,(Female),1983,Drawings," 1,375 "
"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1930,Architecture & Design," 1,298 "
Stamp Box,Josef Hoffmann,(Austrian),-1870,-1956,(Male),1946,Architecture & Design," 1,254 "
"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,(Swiss),-1943,,(Male),1984,Architecture & Design," 1,127 "
Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,(German),-1954,,(Male),2006,Prints & Illustrated Books," 1,435 "
"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,(American),-1843,-1908,(Male),c. 1885,Photography, 964 
"Apollon Musagete, design for Scenery",Pavel Tchelitchew,(American),-1898,-1957,(Male),1942,Drawings," 1,066 "
LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,(French),-1857,-1927,(Male),1913,Photography," 1,285 "
Scroll Down and Keep Scrolling,Fiona Banner,(British),-1966,,(Female),2015,Prints & Illustrated Books, 946 
"""Untitled""",Felix Gonzalez-Torres,(American),-1957,-1996,(Male),1987,Painting & Sculpture, 915 
Plate (page 89) from L'ÉVANGILE,Léo Marchutz,(French),-1903,-1976,(Male),1947-1949,Prints & Illustrated Books," 1,024 "
Pleasures and Terrors of Levitation 50,Aaron Siskind,(American),-1903,-1991,(Male),1965,Photography," 1,086 "
Tailpiece (page 44) from FABLES,Thomas Bewick,(British),-1753,-1828,(Male),1818,Prints & Illustrated Books, 929 
"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,(German),-1909,-1981,(Male),1961,Prints & Illustrated Books, 960 
RUES LANNEAU ET DES CARMES,Eugène Atget,(French),-1857,-1927,(Male),1925,Photography," 1,088 "
Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),-1871,-1958,(Male),1916-1932,Prints & Illustrated Books," 1,385 "
"Landscape Triptych No. 1, State IV/IV",Fred Williams,(Australian),-1927,-1982,(Male),1962,Prints & Illustrated Books," 1,276 "
"Mr. Bennett, Vermont",Paul Strand,(American),-1890,-1976,(Male),1944,Photography," 1,322 "
Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,(French),-1883,-1956,(Female),1930,Prints & Illustrated Books," 1,311 "
C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,(Spanish),-1927,,(Male),1991,Prints & Illustrated Books," 1,474 "
"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,(German),-1945,-2014,(Male),1991-1994,Photography," 1,199 "
Fortune,Kiki Smith,(American),-1954,,(Female),2008,Prints & Illustrated Books," 1,095 "
"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,(American),-1947,,(Male),1975,Photography, 927 
Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,(French),-1864,-1901,(Male),1893,Prints & Illustrated Books," 1,012 "
Untitled,Willem de Kooning,(American),-1904,-1997,(Male),1966,Drawings," 1,473 "
"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,(American),-1948,,(Male),1968-1969,Prints & Illustrated Books," 1,317 "
Are You Rea #17,Robert Heinecken,(American),-1931,-2006,(Male),1964-1968,Photography," 1,431 "
Headpiece (page 93) from PASSION,Georges Rouault,(French),-1871,-1958,(Male),1928-1939,Prints & Illustrated Books," 1,496 "
Bar Tools,Studio Opi,(Italian),-1955,,(),1969,Architecture & Design," 1,051 "
Multi-use Rocker Prototype,Frederick Kiesler,(American),-1890,-1965,(Male),1942,Architecture & Design," 1,103 "
Cascade Mountains,Lee Friedlander,(American),-1934,,(Male),1980,Photography," 1,128 "
Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,(American),-1915,-2004,(Male),1955,Architecture & Design," 1,036 "
"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1930,Architecture & Design," 1,362 "
[History of Art Chart],George Maciunas,(American),-1931,-1978,(Male),c. 1955-1960,Prints & Illustrated Books," 1,043 "
Bagatelle,Eugène Atget,(French),-1857,-1927,(Male),1922,Photography," 1,010 "
MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),c.1934,Architecture & Design," 1,190 "
FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,(French),-1857,-1927,(Male),1903,Photography, 929 
The Toe Tactic,Emily Hubley,(American),-1958,,(Female),2008,Film, 976 
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,(American),-1934,-2016,(Male),1962,Prints & Illustrated Books," 1,147 "
"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,(American),-1867,-1959,(Male),1944,Architecture & Design," 1,441 "
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,(American),-1877,-1960,(Male),1914-1918,Architecture & Design," 1,230 "
Untitled,Carey Maxon,(American),-1978,,(Female),-2003,Drawings," 1,021 "
Untitled from Program,Jorge Pardo,(American),-1963,,(Male),2012,Prints & Illustrated Books, 902 
Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,(Italian),-1922,-2000,(Male),1965,Prints & Illustrated Books," 1,154 "
Photographic Views and Studies of Canadian Scenery,Alexander Henderson,(Canadian),-1831,-1913,(Male),1865,Photography, 924 
"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,(American),-1947,,(Male),1976,Photography, 923 
"Meudon, ancien château",Eugène Atget,(French),-1857,-1927,(Male),1902,Photography," 1,031 "
Bright Leaves,Ross McElwee,(),,,(Male),2003,Film," 1,219 "
A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,(Chilean),-1967,,(Female),2010,Drawings," 1,055 "
Plate XLVII from the Barcelona Series,Joan Miró,(Spanish),-1893,-1983,(Male),1944,Prints & Illustrated Books," 1,102 "
Canto VI from 18 Cantos,Barnett Newman,(American),-1905,-1970,(Male),1963,Prints & Illustrated Books," 1,337 "
Chagres River from the Fort,Eadweard J. Muybridge,(American),-1830,-1904,(Male),1875,Photography," 1,471 "
"Men of Air, New York",Robert Frank,(American),-1924,,(Male),1948,Photography," 1,378 "
William Eggleston and Friend,Lee Friedlander,(American),-1934,,(Male),1990,Photography," 1,141 "
Seated Nude,Fernand Léger,(French),-1881,-1955,(Male),1913,Drawings," 1,234 "
"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,(American),-1910,-2007,(Male),1958,Photography," 1,022 "
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1921,Architecture & Design," 1,302 "
Ouray from Copper Series,Frank Stella,(American),-1936,,(Male),1970,Prints & Illustrated Books," 1,041 "
Bodies of Women (Corps de dames),Jean Dubuffet,(French),-1901,-1985,(Male),1950,Prints & Illustrated Books," 1,428 "
Ear,Louise Bourgeois,(American),-1911,-2010,(Female),2004,Prints & Illustrated Books," 1,258 "
Pablo Picasso,Man Ray (Emmanuel Radnitzky),(American),-1890,-1976,(Male),1926,Photography," 1,090 "
Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,(American),-1943,,(Male),1973,Prints & Illustrated Books," 1,299 "
RETURN FROM TOIL,John Sloan,(American),-1871,-1951,(Male),1915,Prints & Illustrated Books," 1,120 "
Ears,Louise Bourgeois,(American),-1911,-2010,(Female),2003,Prints & Illustrated Books, 953 
Blue Jean from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Miguel Angel Rojas,(Colombian),-1946,,(Male),1973,Prints & Illustrated Books," 1,074 "
J.A.B. AND HIS UMBRELLA,Stephen Scheer,(American),-1954,,(Male),1986,Photography," 1,120 "
Tube,Roman Signer,(Swiss),-1938,,(Male),1982,Media and Performance Art," 1,339 "
In-text plate (page 78) from LYSISTRATA,František Kupka,(Czech),-1871,-1957,(Male),1908-1911,Prints & Illustrated Books, 968 
"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Lilly Reich,(German),-1885,-1947,(Female),1934,Architecture & Design," 1,113 "
Plate (page 44) from PARADISE GARDEN,Sidney Nolan,(Australian),-1917,-1992,(Male),1971,Prints & Illustrated Books," 1,485 "
"SALUTATIONS, SENOR!","George Overbury (""Pop"") Hart",(American),-1868,-1933,(Male),-1926,Prints & Illustrated Books," 1,393 "
NUMBER 12,Antoni Tàpies,(Spanish),-1923,-2012,(Male),1960,Prints & Illustrated Books," 1,212 "
"50,000 Meals Served (50,000 Cubiertos)",José Chávez Morado,(Mexican),-1909,-2002,(Male),1939,Prints & Illustrated Books," 1,485 "
In-text plate (page 68) from LE VOYAGE D'URIEN,Maurice Denis,(French),-1870,-1943,(Male),1893,Prints & Illustrated Books," 1,454 "
Kaleidoscope #2 (Furnishing fabric),Herbert Bayer,(American),-1900,-1985,(Male),c.1952,Architecture & Design," 1,099 "
Nations,Slavs and Tatars,(),-2005,,(),2007,Prints & Illustrated Books," 1,303 "
"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,(French),-1884,-1974,(Male),1933-1947,Prints & Illustrated Books," 1,449 "
"The Brown Sisters, Marblehead, Massachusetts",Nicholas Nixon,(American),-1947,,(Male),1995,Photography," 1,395 "
Linear Still Life,William Scott,(British),-1913,-1989,(Male),1973,Drawings, 926 
Blind Man and His Son (Homem cego e seu filho),Candido Portinari,(Brazilian),-1903,-1962,(Male),1939,Prints & Illustrated Books," 1,154 "
"Street, Berlin",Ernst Ludwig Kirchner,(German),-1880,-1938,(Male),1913,Painting & Sculpture," 1,056 "
The Song of the Shirt,David Wark Griffith,(American),-1874,-1948,(Male),1908,Film, 929 
Architecture Panoramas,Jan Dibbets,(Dutch),-1941,,(Male),1971,Photography," 1,328 "
Kazimierz Malewicz 1876-1935,Wladyslaw Strzemiński,(Polish),-1893,-1952,(Male),1936,Prints & Illustrated Books," 1,282 "
"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Winfred Gaul,(German),-1928,-2003,(Male),1960,Architecture & Design," 1,124 "
Hospital Event Label,George Maciunas,(American),-1931,-1978,(Male),1975,Prints & Illustrated Books, 906 
"Washington, D.C.",Lee Friedlander,(American),-1934,,(Male),1976,Photography," 1,035 "
Deeparture,Mircea Cantor,(Romanian),-1977,,(Male),2005,Media and Performance Art," 1,149 "
Programy skolskeho rozhlasu,Augustin Tschinkel,(Czech),-1905,,(Male),1933,Architecture & Design," 1,458 "
Plate (folio 19) from KAFKA,Roger Chancel,(French),-1898,-1976,(Male),1957,Prints & Illustrated Books," 1,153 "
Lassaw at Kootz Gallery,Elaine Lustig Cohen,(American),-1927,-2016,(Female),1960,Architecture & Design, 984 
"Untitled, from Eurana Park, Weatherly, Pennsylvania",Judith Joy Ross,(American),-1946,,(Female),1982,Photography," 1,038 "
"View from Hotel Window--Butte, Montana",Robert Frank,(American),-1924,,(Male),1956,Photography," 1,493 "
"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,(American),-1885,-1930,(Male),1910,Prints & Illustrated Books," 1,114 "
UNTITLED (SQUARE YELLOW SPIRAL),Paul Thek,(American),-1933,-1988,(Male),1983,Drawings," 1,208 "
In-text plate (folio 5) from THE DONKEY AND THE DARLING,Larry Rivers,(American),-1923,-2002,(Male),1968-1977,Prints & Illustrated Books," 1,347 "
So What!,Christian Fossier,(French),-1943,-2013,(Male),1969,Prints & Illustrated Books," 1,039 "
"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Michel Guino,(French),-1926,-2013,(Male),1965,Prints & Illustrated Books," 1,093 "
Trinket,Arthur B. Davies,(American),-1862,-1928,(Male),1919-1920,Prints & Illustrated Books," 1,262 "
"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Marc Chagall,(French),-1887,-1985,(Male),1923-1948,Prints & Illustrated Books," 1,402 "
Untitled (white lines),Lauretta Vinciarelli,(Italian),-1943,-2012,(Female),c.1973,Architecture & Design," 1,490 "
"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Aristide Maillol,(French),-1861,-1944,(Male),1912-1926,Prints & Illustrated Books," 1,500 "
Mrs. Beatrice Baxter Ruyl and Infant,Gertrude Käsebier,(American),-1852,-1934,(Female),1905,Photography," 1,201 "
"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Jean (Hans) Arp,(French),-1886,-1966,(Male),1918,Prints & Illustrated Books," 1,099 "
Topiary,Louise Bourgeois,(American),-1911,-2010,(Female),1997,Drawings," 1,464 "
"Ruins of the Church of Las Monjas, Old Panama",Eadweard J. Muybridge,(American),-1830,-1904,(Male),1875,Photography," 1,399 "
FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Eugène Atget,(French),-1857,-1927,(Male),1907,Photography," 1,409 "
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1926-1946,Architecture & Design, 997 
Ileana from Ruminations,Robert Rauschenberg,(American),-1925,-2008,(Male),1999,Prints & Illustrated Books," 1,336 "
Luz Seated (to the right),Jean Charlot,(American),-1898,-1979,(Male),1929,Prints & Illustrated Books," 1,066 "
"Untitled, from the series Come Sunday",Thomas Roma,(American),-1950,,(Male),1991-1994,Photography," 1,301 "
"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Stephen Shames,(American),-1947,,(Male),1971,Photography," 1,437 "
Wear Your Goggles,Pat Keely,(British),,,(Male),1942,Architecture & Design," 1,478 "
Ballet poster,André Masson,(French),-1896,-1987,(Male),1933,Architecture & Design, 940 
Fingerprint,Robert Watts,(American),-1923,-1988,(Male),1965,Prints & Illustrated Books," 1,297 "
El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,J. Briones,(Spanish),,,(),1936-1937,Architecture & Design," 1,404 "
Untitled from Woodcuts,Thomas Schütte,(German),-1954,,(Male),2011,Prints & Illustrated Books," 1,093 "
"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Marc Chagall,(French),-1887,-1985,(Male),1978-1979,Prints & Illustrated Books," 1,162 "
New York I,Aaron Siskind,(American),-1903,-1991,(Male),1951,Photography," 1,411 "
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1926,Architecture & Design," 1,330 "
Ode à l'Oubli,Louise Bourgeois,(American),-1911,-2010,(Female),2004,Prints & Illustrated Books," 1,199 "
Two Figures,Max Weber,(American),-1881,-1961,(Male),1919-1920,Prints & Illustrated Books," 1,164 "
Instruction No. 2 from Fluxkit,Benjamin Patterson,(American),-1934,-2016,(Male),1965-1966,Prints & Illustrated Books," 1,347 "
Untitled,Unknown,(),,,(),1923-1951,Photography," 1,346 "
In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Bruce Conner,(American),-1933,-2008,(Male),1991,Prints & Illustrated Books," 1,404 "
Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),-1871,-1958,(Male),1916-1932,Prints & Illustrated Books," 1,414 "
"Cloud Rock (plate, page 78) from 1¢ Life",Sam Francis,(American),-1923,-1994,(Male),1964,Prints & Illustrated Books," 1,191 "
Untitled from an untitled portfolio,Mateo Manaure,(Venezuelan),-1926,-2018,(Male),1969,Prints & Illustrated Books," 1,396 "
Untitled from Traces of anonymous pupil authors,Haegue Yang,(Korean),-1971,,(Female),2001,Prints & Illustrated Books, 959 
Tailpiece (page 81) from ODES,André Derain,(French),-1880,-1954,(Male),1953,Prints & Illustrated Books," 1,142 "
Salt Lake City,Lee Friedlander,(American),-1934,,(Male),1965,Photography," 1,126 "
Château de Bagatelle,Eugène Atget,(French),-1857,-1927,(Male),1913,Photography," 1,348 "
Tailpiece (page 171) from L'ODYSSÉE,Émile Bernard,(French),-1868,-1941,(Male),1930,Prints & Illustrated Books," 1,083 "
The Orchestra,Walter Richard Sickert,(British),-1860,-1942,(Male),(c. 1900-1910),Prints & Illustrated Books," 1,428 "
"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Louise Bourgeois,(American),-1911,-2010,(Female),2010,Prints & Illustrated Books," 1,049 "
Untitled from Farewell,Moshe Gershuni,(Israeli),-1936,-2017,(Male),1992,Prints & Illustrated Books, 992 
"Midway Gardens, Chicago, IL",Frank Lloyd Wright,(American),-1867,-1959,(Male),1913,Architecture & Design," 1,327 "
"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Marc Chagall,(French),-1887,-1985,(Male),1931-1956,Prints & Illustrated Books," 1,150 "
She-Paul-A-Wee,William Henry Jackson,(American),-1843,-1942,(Male),1875,Photography," 1,002 "
Volcano,Roman Signer,(Swiss),-1938,,(Male),1989,Media and Performance Art," 1,165 "
Palmolive,George Brecht,(American),-1926,-2008,(Male),1962,Prints & Illustrated Books," 1,043 "
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,(American),-1969,,(Male),2010,Prints & Illustrated Books," 1,362 "
Portrait of Mies from Fluxus 1,George Maciunas,(American),-1931,-1978,(Male),1964,Prints & Illustrated Books, 932 
Great Builders II,Jean Charlot,(American),-1898,-1979,(Male),1927,Prints & Illustrated Books," 1,035 "
Motherfucker from The Bad Habits,Lisa Yuskavage,(American),-1962,,(Female),1997,Prints & Illustrated Books," 1,473 "
"Entrance to Rockcut Dwelling, Bandelier National Monument",William R. Current,(American),-1923,,(Male),1962,Photography," 1,254 "
Three Kids and a Sled,Philip Fein,(American),-1912,-1994,(Male),c. 1940,Photography," 1,223 "
Study of Kuang Kung,Seong Moy,(American),-1921,-2013,(Male),1952,Prints & Illustrated Books, 986 
Abacus (Furnishing fabric),Paul Rand,(American),-1914,-1996,(Male),c.1946,Architecture & Design," 1,262 "
Venezuela,Dorothea Lange,(American),-1895,-1965,(Female),1960,Photography," 1,301 "
"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Eugène Atget,(French),-1857,-1927,(Male),1900,Photography," 1,184 "
Sky Backdrop,Alex Israel,(American),-1982,,(Male),2013,Painting & Sculpture," 1,439 "
Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),El Lissitzky,(Russian),-1890,-1941,(Male),1928,Prints & Illustrated Books," 1,225 "
New York City,Lee Friedlander,(American),-1934,,(Male),1978,Photography," 1,017 "
Progressive IV for VENTRILOQUIST,Jasper Johns,(American),-1930,,(Male),1986,Prints & Illustrated Books," 1,333 "
Untitled,Eugène Atget,(French),-1857,-1927,(Male),1899-1900,Photography," 1,154 "
Plate (facing page 118) from SAINTE MONIQUE,Pierre Bonnard,(French),-1867,-1947,(Male),1920-1930,Prints & Illustrated Books," 1,296 "
Museum,Peter Blume,(American),-1906,-1992,(Male),1932,Drawings," 1,087 "
Folio,Terry Winters,(American),-1949,,(Male),1985-1986,Prints & Illustrated Books," 1,193 "
Duino,César Paternosto,(Argentine),-1931,,(Male),1966,Painting & Sculpture," 1,233 "
Unmade Bed,Joe Goode,(American),-1937,,(Male),1968,Painting & Sculpture," 1,365 "
#2 from an untitled series,Larry Bell,(American),-1939,,(Male),1974,Prints & Illustrated Books," 1,057 "
